date,y
2016-01-19,0.859
2016-01-18,0.83
2016-01-15,0.82
2016-01-14,0.842
2016-01-13,0.817
2016-01-12,0.843
2016-01-11,0.843
2016-01-08,0.899
2016-01-07,0.887
2016-01-06,0.957
2016-01-05,0.937
2016-01-04,0.942
2015-12-31,1.014
2015-12-30,1.028
2015-12-29,1.026
2015-12-28,1.016
2015-12-25,1.027
2015-12-24,1.026
2015-12-23,1.027
2015-12-22,1.033
2015-12-21,1.028
2015-12-18,1.01
2015-12-17,1.015
2015-12-16,0.995
2015-12-15,0.99
2015-12-14,0.983
2015-12-11,0.973
2015-12-10,0.979
2015-12-09,0.98
2015-12-08,0.986
2015-12-07,0.997
2015-12-04,0.989
2015-12-03,0.995
2015-12-02,0.979
2015-12-01,0.981
2015-11-30,0.98
2015-11-27,0.976
2015-11-26,1.018
2015-11-25,1.027
2015-11-24,1.012
2015-11-23,1.01
2015-11-20,1.017
2015-11-19,1.015
2015-11-18,1.003
2015-11-17,1.012
2015-11-16,1.022
2015-11-13,1.009
2015-11-12,1.029
2015-11-11,1.034
2015-11-10,1.027
2015-11-09,1.024
2015-11-06,1.015
2015-11-05,1.0
2015-11-04,1.008
2015-11-03,0.97
2015-11-02,0.971
2015-10-30,0.979
2015-10-29,0.979
2015-10-28,0.973
2015-10-27,0.988
2015-10-26,0.987
2015-10-23,0.974
2015-10-22,0.958
2015-10-21,0.934
2015-10-20,0.977
2015-10-19,0.958
2015-10-16,0.968
2015-10-15,0.966
2015-10-14,0.944
2015-10-13,0.953
2015-10-12,0.946
2015-10-09,0.917
2015-10-08,0.903
2015-09-30,0.868
2015-09-29,0.861
2015-09-28,0.869
2015-09-25,0.854
2015-09-24,0.881
2015-09-23,0.871
2015-09-22,0.88
2015-09-21,0.875
2015-09-18,0.844
2015-09-17,0.836
2015-09-16,0.836
2015-09-15,0.786
2015-09-14,0.809
2015-09-11,0.858
2015-09-10,0.853
2015-09-09,0.866
2015-09-08,0.838
2015-09-07,0.804
2015-09-02,0.801
2015-09-01,0.812
2015-08-31,0.857
2015-08-28,0.884
2015-08-27,0.839
2015-08-26,0.806
2015-08-25,0.823
2015-08-24,0.877
2015-08-21,0.943
2015-08-20,0.988
2015-08-19,1.016
2015-08-18,0.994
2015-08-17,1.056
2015-08-14,1.048
2015-08-13,1.051
2015-08-12,1.036
2015-08-11,1.058
2015-08-10,1.055
2015-08-07,0.997
2015-08-06,0.962
2015-08-05,0.962
2015-08-04,0.963
2015-08-03,0.904
2015-07-31,0.953
2015-07-30,0.957
2015-07-29,0.984
2015-07-28,0.938
2015-07-27,0.957
2015-07-24,1.042
2015-07-23,1.068
